"ts_rel_days","red","orange","black","N","date","pct_red","pct_orange","pct_black","pct_fake"
-24,18373,9206,5525,401225,2016-10-15,0.0457922612000748,0.0229447317589881,0.0137703283693688,0.0825073213284317
-14,19361,12082,5916,542889,2016-10-25,0.0356629071504488,0.022255009771795,0.0108972552400214,0.0688151721622652
5,12770,7178,3555,482801,2016-11-13,0.0264498209407188,0.0148674091395834,0.00736328218044287,0.0486805122607451
-43,10797,10071,2447,950875,2016-09-26,0.0113548047850664,0.0105912974891547,0.00257341921914027,0.0245195214933614
-30,16421,12154,4454,820429,2016-10-09,0.0200151384214844,0.0148142008632069,0.00542886709270394,0.0402582063773952
3,12831,9321,2984,754937,2016-11-11,0.0169961202060569,0.0123467256208134,0.00395264770437798,0.0332954935312483
-44,9521,5674,2606,324868,2016-09-25,0.0293072878830787,0.0174655552408978,0.00802171959072608,0.0547945627147026
-51,9791,8208,2185,301455,2016-09-18,0.0324791428239704,0.0272279444693238,0.00724817966197277,0.0669552669552669
-10,14812,10683,5017,392328,2016-10-29,0.0377541241002427,0.0272297669297119,0.0127877694174262,0.0777716604473808
-9,16100,12919,5909,439622,2016-10-30,0.0366223710369363,0.0293866094053528,0.0134410925749849,0.0794500730172739
-6,19870,12589,5384,691969,2016-11-02,0.0287151592051089,0.018193011536644,0.00778069537797213,0.054688866119725
-12,17819,10806,5997,597617,2016-10-27,0.0298167555474493,0.0180818149416767,0.0100348550995035,0.0579334255886295
-4,20399,15206,5752,828291,2016-11-04,0.0246278180011614,0.0183582822945076,0.00694441929225357,0.0499305195879226
-8,19505,17813,5378,571550,2016-10-31,0.0341264981191497,0.0311661271979704,0.00940950048114776,0.0747021257982679
-21,19494,13163,5589,654855,2016-10-18,0.0297684220170878,0.0201006329645494,0.00853471379160272,0.0584037687732399
21,8305,8121,1845,507965,2016-11-29,0.0163495516423376,0.0159873219611587,0.00363214000964633,0.0359690136131426
-16,13482,12903,4867,399022,2016-10-23,0.0337876107081815,0.0323365628962814,0.0121973224533986,0.0783214960578615
-3,16006,13094,6110,524776,2016-11-05,0.0305006326508834,0.0249515983962681,0.0116430629449518,0.0670952939921033
-38,8390,7650,3871,341075,2016-10-01,0.0245986953016199,0.0224290845122041,0.0113494099538225,0.0583771897676464
