"ts_rel_days","red","orange","black","N","date","pct_red","pct_orange","pct_black","pct_fake"
-41,24,33,13,945,2016-09-28,0.0253968253968254,0.0349206349206349,0.0137566137566138,0.0740740740740741
-27,10,8,7,381,2016-10-12,0.026246719160105,0.020997375328084,0.0183727034120735,0.0656167979002625
-18,31,25,11,682,2016-10-21,0.0454545454545455,0.0366568914956012,0.0161290322580645,0.0982404692082112
-15,55,25,23,1092,2016-10-24,0.0503663003663004,0.0228937728937729,0.0210622710622711,0.0943223443223443
-98,21,13,10,556,2016-08-02,0.0377697841726619,0.0233812949640288,0.0179856115107914,0.079136690647482
-4,18,10,3,356,2016-11-04,0.050561797752809,0.0280898876404494,0.00842696629213483,0.0870786516853932
-10,22,23,21,802,2016-10-29,0.027431421446384,0.0286783042394015,0.0261845386533666,0.0822942643391521
-5,31,20,5,888,2016-11-03,0.0349099099099099,0.0225225225225225,0.00563063063063063,0.0630630630630631
-42,20,19,12,1178,2016-09-27,0.0169779286926995,0.0161290322580645,0.0101867572156197,0.0432937181663837
-6,55,26,27,1296,2016-11-02,0.0424382716049383,0.0200617283950617,0.0208333333333333,0.0833333333333333
-99,18,15,3,702,2016-08-01,0.0256410256410256,0.0213675213675214,0.00427350427350427,0.0512820512820513
-66,8,8,3,384,2016-09-03,0.0208333333333333,0.0208333333333333,0.0078125,0.0494791666666667
-20,66,40,26,1164,2016-10-19,0.0567010309278351,0.0343642611683849,0.0223367697594502,0.11340206185567
-26,66,34,37,1454,2016-10-13,0.0453920220082531,0.0233837689133425,0.0254470426409904,0.094222833562586
-1,10,7,7,476,2016-11-07,0.0210084033613445,0.0147058823529412,0.0147058823529412,0.0504201680672269
5,4,4,4,274,2016-11-13,0.0145985401459854,0.0145985401459854,0.0145985401459854,0.0437956204379562
26,10,9,11,541,2016-12-04,0.0184842883548983,0.0166358595194085,0.0203327171903882,0.055452865064695
23,1,0,0,35,2016-12-01,0.0285714285714286,0,0,0.0285714285714286
-94,14,23,15,402,2016-08-06,0.0348258706467662,0.0572139303482587,0.0373134328358209,0.129353233830846
7,18,10,2,910,2016-11-15,0.0197802197802198,0.010989010989011,0.0021978021978022,0.032967032967033
-87,14,8,4,376,2016-08-13,0.0372340425531915,0.0212765957446809,0.0106382978723404,0.0691489361702128
24,5,4,1,201,2016-12-02,0.0248756218905473,0.0199004975124378,0.00497512437810945,0.0497512437810945
-13,52,43,23,1010,2016-10-26,0.0514851485148515,0.0425742574257426,0.0227722772277228,0.116831683168317
16,2,6,0,415,2016-11-24,0.00481927710843374,0.0144578313253012,0,0.0192771084337349
-65,27,10,10,413,2016-09-04,0.0653753026634383,0.0242130750605327,0.0242130750605327,0.113801452784504
28,7,4,1,565,2016-12-06,0.0123893805309735,0.00707964601769911,0.00176991150442478,0.0212389380530973
27,4,14,5,767,2016-12-05,0.00521512385919166,0.0182529335071708,0.00651890482398957,0.029986962190352
-84,10,17,5,506,2016-08-16,0.0197628458498024,0.033596837944664,0.00988142292490119,0.0632411067193676
-86,12,7,11,384,2016-08-14,0.03125,0.0182291666666667,0.0286458333333333,0.078125
-45,14,15,17,565,2016-09-24,0.0247787610619469,0.0265486725663717,0.0300884955752212,0.0814159292035398
-79,20,20,12,641,2016-08-21,0.031201248049922,0.031201248049922,0.0187207488299532,0.0811232449297972
-75,3,1,2,33,2016-08-25,0.0909090909090909,0.0303030303030303,0.0606060606060606,0.181818181818182
-51,41,28,15,636,2016-09-18,0.0644654088050314,0.0440251572327044,0.0235849056603774,0.132075471698113
-2,1,0,1,49,2016-11-06,0.0204081632653061,0,0.0204081632653061,0.0408163265306122
-34,33,36,18,1176,2016-10-05,0.0280612244897959,0.0306122448979592,0.0153061224489796,0.0739795918367347
-29,32,21,9,1058,2016-10-10,0.0302457466918715,0.0198487712665406,0.00850661625708885,0.0586011342155009
-64,26,13,12,509,2016-09-05,0.0510805500982318,0.0255402750491159,0.0235756385068762,0.100196463654224
-72,9,2,2,288,2016-08-28,0.03125,0.00694444444444444,0.00694444444444444,0.0451388888888889
-83,6,10,4,473,2016-08-17,0.0126849894291755,0.0211416490486258,0.00845665961945032,0.0422832980972516
-50,18,14,8,731,2016-09-19,0.0246238030095759,0.0191518467852257,0.0109439124487004,0.0547195622435021
-76,8,2,4,356,2016-08-24,0.0224719101123595,0.00561797752808989,0.0112359550561798,0.0393258426966292
-52,17,21,8,589,2016-09-17,0.0288624787775891,0.0356536502546689,0.0135823429541596,0.0780984719864177
-95,9,10,8,567,2016-08-05,0.0158730158730159,0.017636684303351,0.0141093474426808,0.0476190476190476
-71,0,0,0,30,2016-08-29,0,0,0,0
19,2,0,3,185,2016-11-27,0.0108108108108108,0,0.0162162162162162,0.027027027027027
-62,5,6,0,228,2016-09-07,0.0219298245614035,0.0263157894736842,0,0.0482456140350877
-82,8,12,0,463,2016-08-18,0.0172786177105832,0.0259179265658747,0,0.0431965442764579
-69,10,17,6,550,2016-08-31,0.0181818181818182,0.0309090909090909,0.0109090909090909,0.06
-23,47,31,18,952,2016-10-16,0.0493697478991597,0.032563025210084,0.0189075630252101,0.100840336134454
-36,67,62,21,1202,2016-10-03,0.0557404326123128,0.0515806988352745,0.0174708818635607,0.124792013311148
-19,20,15,4,265,2016-10-20,0.0754716981132075,0.0566037735849057,0.0150943396226415,0.147169811320755
-80,10,5,6,355,2016-08-20,0.028169014084507,0.0140845070422535,0.0169014084507042,0.0591549295774648
-22,72,78,21,1377,2016-10-17,0.0522875816993464,0.0566448801742919,0.0152505446623094,0.124183006535948
-54,25,26,8,837,2016-09-15,0.029868578255675,0.031063321385902,0.00955794504181601,0.0704898446833931
25,9,13,2,521,2016-12-03,0.017274472168906,0.0249520153550864,0.00383877159309021,0.0460652591170825
-78,28,20,13,633,2016-08-22,0.0442338072669826,0.0315955766192733,0.0205371248025276,0.0963665086887836
-14,58,42,26,1098,2016-10-25,0.0528233151183971,0.0382513661202186,0.0236794171220401,0.114754098360656
-63,14,7,5,484,2016-09-06,0.0289256198347107,0.0144628099173554,0.0103305785123967,0.0537190082644628
-88,11,9,13,508,2016-08-12,0.0216535433070866,0.0177165354330709,0.0255905511811024,0.0649606299212598
-58,15,12,4,503,2016-09-11,0.0298210735586481,0.0238568588469185,0.00795228628230616,0.0616302186878728
-24,14,9,13,275,2016-10-15,0.0509090909090909,0.0327272727272727,0.0472727272727273,0.130909090909091
-57,16,18,3,647,2016-09-12,0.0247295208655332,0.0278207109737249,0.00463678516228748,0.0571870170015456
18,7,6,8,415,2016-11-26,0.0168674698795181,0.0144578313253012,0.0192771084337349,0.0506024096385542
-56,38,42,9,970,2016-09-13,0.0391752577319588,0.0432989690721649,0.00927835051546392,0.0917525773195876
-55,27,22,8,859,2016-09-14,0.0314318975552969,0.0256111757857974,0.00931315483119907,0.0663562281722934
-61,32,9,12,792,2016-09-08,0.0404040404040404,0.0113636363636364,0.0151515151515152,0.0669191919191919
-37,10,17,7,276,2016-10-02,0.036231884057971,0.0615942028985507,0.0253623188405797,0.123188405797101
-16,53,25,33,833,2016-10-23,0.063625450180072,0.0300120048019208,0.0396158463385354,0.133253301320528
-59,6,3,4,432,2016-09-10,0.0138888888888889,0.00694444444444444,0.00925925925925926,0.0300925925925926
-3,29,35,8,833,2016-11-05,0.0348139255702281,0.0420168067226891,0.00960384153661465,0.0864345738295318
-77,18,22,7,599,2016-08-23,0.0300500834724541,0.0367278797996661,0.011686143572621,0.0784641068447412
21,9,2,0,253,2016-11-29,0.0355731225296443,0.00790513833992095,0,0.0434782608695652
-48,8,10,1,187,2016-09-21,0.0427807486631016,0.053475935828877,0.0053475935828877,0.101604278074866
-73,3,0,0,66,2016-08-27,0.0454545454545455,0,0,0.0454545454545455
-74,3,0,0,42,2016-08-26,0.0714285714285714,0,0,0.0714285714285714
-17,8,7,1,159,2016-10-22,0.050314465408805,0.0440251572327044,0.00628930817610063,0.10062893081761
-38,1,1,0,44,2016-10-01,0.0227272727272727,0.0227272727272727,0,0.0454545454545455
-28,1,0,0,45,2016-10-11,0.0222222222222222,0,0,0.0222222222222222
-70,6,2,2,141,2016-08-30,0.0425531914893617,0.0141843971631206,0.0141843971631206,0.0709219858156028
