"category","percentage_of_total","cumulative_percentage"
"Orange",0.678571428571429,0.997497712619954
"Orange",0.696428571428571,0.997930931761602
"Orange",0.714285714285714,0.998358193076154
"Orange",0.732142857142857,0.998645871013043
"Orange",0.75,0.998930995595464
"Orange",0.767857142857143,0.9991590952614
"Orange",0.785714285714286,0.999279102921463
"Orange",0.803571428571429,0.99939825946337
"Orange",0.821428571428571,0.999500393642147
"Orange",0.839285714285714,0.999599974466455
"Orange",0.857142857142857,0.999699555290763
"Orange",0.875,0.999787220460881
"Orange",0.892857142857143,0.999857012149712
"Orange",0.910714285714286,0.999917441538822
"Orange",0.928571428571429,0.999967657510054
"Orange",0.946428571428571,0.999980424282401
"Orange",0.964285714285714,0.999992339936592
"Orange",0.982142857142857,0.999998297763687
"Orange",1,1
"Red",0.015625,0.224217074147253
"Red",0.03125,0.410654497042768
"Red",0.046875,0.534910306529997
"Red",0.0625,0.641463089127088
"Red",0.078125,0.68752429096425
"Red",0.09375,0.728179471571841
"Red",0.109375,0.765832826084834
"Red",0.125,0.801044226644055
"Red",0.140625,0.832098902064691
"Red",0.15625,0.850503722173215
"Red",0.171875,0.864827985794872
"Red",0.1875,0.879094309160094
"Red",0.203125,0.89191798524151
"Red",0.21875,0.902319888806789
"Red",0.234375,0.911231621057703
"Red",0.25,0.918792499015341
"Red",0.265625,0.925946493149704
"Red",0.28125,0.932325129470433
"Red",0.296875,0.938503904457168
"Red",0.3125,0.942749818529815
"Red",0.328125,0.946713843489696
"Red",0.34375,0.950497537539101
"Red",0.359375,0.954204411922673
"Red",0.375,0.957784338553382
"Red",0.390625,0.960770540309167
"Red",0.40625,0.963493081347469
"Red",0.421875,0.966064587110572
"Red",0.4375,0.968432976469095
"Red",0.453125,0.97063796128419
"Red",0.46875,0.972811697421659
"Red",0.484375,0.97493270141563
"Red",0.5,0.977025060788443
"Red",0.515625,0.979099842780091
"Red",0.53125,0.981116033501186
"Red",0.546875,0.982752031977813
"Red",0.5625,0.984363291917985
"Red",0.578125,0.985966088674633
"Red",0.59375,0.987316942967908
"Red",0.609375,0.988515459957749
"Red",0.625,0.989548619361811
"Red",0.640625,0.990573966596466
"Red",0.65625,0.991598662817003
"Red",0.671875,0.99251268663761
"Red",0.6875,0.99338569656883
"Red",0.703125,0.994172121622457
"Red",0.71875,0.99494552639374
"Red",0.734375,0.995557479663946
"Red",0.75,0.996168130905919
"Red",0.765625,0.996709123637346
"Red",0.78125,0.997235143044077
"Red",0.796875,0.997675228587332
"Red",0.8125,0.998092528636483
"Red",0.828125,0.998414780624518
"Red",0.84375,0.99870448190669
"Red",0.859375,0.998892624986573
"Red",0.875,0.999080768066456
"Red",0.890625,0.999255239849876
"Red",0.90625,0.99942189946389
"Red",0.921875,0.999576840823793
"Red",0.9375,0.999695325393131
"Red",0.953125,0.999794279538952
"Red",0.96875,0.999876958331841
"Red",0.984375,0.999949220898855
